Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22241.01","Butter of cow milk","2012","2012","1000 USD","466034","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22241.01","Butter of cow milk","2013","2013","1000 USD","557014","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22241.01","Butter of cow milk","2014","2014","1000 USD","542433","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22241.01","Butter of cow milk","2015","2015","1000 USD","402557","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22241.01","Butter of cow milk","2016","2016","1000 USD","400687","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22241.01","Butter of cow milk","2017","2017","1000 USD","643934","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22241.01","Butter of cow milk","2018","2018","1000 USD","679908","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22241.01","Butter of cow milk","2019","2019","1000 USD","544351","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22241.01","Butter of cow milk","2020","2020","1000 USD","479653","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22241.01","Butter of cow milk","2021","2021","1000 USD","536951","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22241.01","Butter of cow milk","2022","2022","1000 USD","763640","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22241.01","Butter of cow milk","2012","2012","1000 USD","355554","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22241.01","Butter of cow milk","2013","2013","1000 USD","366715","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22241.01","Butter of cow milk","2014","2014","1000 USD","420970","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22241.01","Butter of cow milk","2015","2015","1000 USD","420542","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22241.01","Butter of cow milk","2016","2016","1000 USD","496139","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22241.01","Butter of cow milk","2017","2017","1000 USD","459739","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22241.01","Butter of cow milk","2018","2018","1000 USD","478804","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22241.01","Butter of cow milk","2019","2019","1000 USD","474414","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22241.01","Butter of cow milk","2020","2020","1000 USD","513505","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22241.01","Butter of cow milk","2021","2021","1000 USD","480764","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22241.01","Butter of cow milk","2022","2022","1000 USD","492277","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2012","2012","","83","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2013","2013","","103","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2014","2014","","115","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2015","2015","","85","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2016","2016","","100","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2017","2017","","149","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2018","2018","","164","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2019","2019","","130","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2020","2020","","124","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2021","2021","","130","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2022","2022","","189","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2012","2012","","104","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2013","2013","","124","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2014","2014","","121","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2015","2015","","90","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2016","2016","","89","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2017","2017","","144","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2018","2018","","152","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2019","2019","","121","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2020","2020","","107","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2021","2021","","120","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","22241.01","Butter of cow milk","2022","2022","","170","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22241.01","Butter of cow milk","2012","2012","","80","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22241.01","Butter of cow milk","2013","2013","","82","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22241.01","Butter of cow milk","2014","2014","","94","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22241.01","Butter of cow milk","2015","2015","","94","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22241.01","Butter of cow milk","2016","2016","","111","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22241.01","Butter of cow milk","2017","2017","","103","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22241.01","Butter of cow milk","2018","2018","","107","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22241.01","Butter of cow milk","2019","2019","","106","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22241.01","Butter of cow milk","2020","2020","","115","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22241.01","Butter of cow milk","2021","2021","","108","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22241.01","Butter of cow milk","2022","2022","","110","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22251.01","Cheese from whole cow milk","2012","2012","1000 USD","1013696","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22251.01","Cheese from whole cow milk","2013","2013","1000 USD","1109437","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22251.01","Cheese from whole cow milk","2014","2014","1000 USD","1132974","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22251.01","Cheese from whole cow milk","2015","2015","1000 USD","850807","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22251.01","Cheese from whole cow milk","2016","2016","1000 USD","768512","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22251.01","Cheese from whole cow milk","2017","2017","1000 USD","837245","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22251.01","Cheese from whole cow milk","2018","2018","1000 USD","852757","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22251.01","Cheese from whole cow milk","2019","2019","1000 USD","829581","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22251.01","Cheese from whole cow milk","2020","2020","1000 USD","848678","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22251.01","Cheese from whole cow milk","2021","2021","1000 USD","873347","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","22251.01","Cheese from whole cow milk","2022","2022","1000 USD","997929","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22251.01","Cheese from whole cow milk","2012","2012","1000 USD","761780","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22251.01","Cheese from whole cow milk","2013","2013","1000 USD","768898","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22251.01","Cheese from whole cow milk","2014","2014","1000 USD","806379","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22251.01","Cheese from whole cow milk","2015","2015","1000 USD","881166","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22251.01","Cheese from whole cow milk","2016","2016","1000 USD","1023461","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22251.01","Cheese from whole cow milk","2017","2017","1000 USD","1046616","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22251.01","Cheese from whole cow milk","2018","2018","1000 USD","1091545","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22251.01","Cheese from whole cow milk","2019","2019","1000 USD","1119381","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22251.01","Cheese from whole cow milk","2020","2020","1000 USD","1153064","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22251.01","Cheese from whole cow milk","2021","2021","1000 USD","1275565","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","22251.01","Cheese from whole cow milk","2022","2022","1000 USD","1292826","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22251.01","Cheese from whole cow milk","2012","2012","","95","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22251.01","Cheese from whole cow milk","2013","2013","","104","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22251.01","Cheese from whole cow milk","2014","2014","","112","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22251.01","Cheese from whole cow milk","2015","2015","","92","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22251.01","Cheese from whole cow milk","2016","2016","","96","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22251.01","Cheese from whole cow milk","2017","2017","","107","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22251.01","Cheese from whole cow milk","2018","2018","","114","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","22251.01","Cheese from whole cow milk","2019","2019","","114","E","Estimated value"
